0, 14786600
0, 14759400
0, 14877000
0, 14796800
0, 14797900
0, 14815500
0, 14789700
0, 14794800
0, 14792100
0, 14799400
1, 14759200
1, 15348700
1, 14781100
1, 14776600
1, 15807700
1, 14833300
1, 14803700
1, 14804000
1, 14862100
1, 14849400
2, 14760700
2, 14835000
2, 14829500
2, 15200600
2, 14947700
2, 15085800
2, 14991100
2, 14806100
2, 14841800
2, 14782600
3, 14833100
3, 14792400
3, 14940400
3, 14800300
3, 14853300
3, 14811600
3, 14781400
3, 14827700
3, 14835400
3, 14924700
4, 15014700
4, 14942800
4, 14784600
4, 14773900
4, 14815400
4, 14797200
4, 14796100
4, 14795100
4, 15300900
4, 14846800
5, 14799700
5, 14825000
5, 14841900
5, 14790300
5, 14839200
5, 14806700
5, 14804300
5, 14872800
5, 14865800
5, 14993000
6, 14921500
6, 14803100
6, 14800900
6, 14815200
6, 14803700
6, 14805700
6, 14806500
6, 14841700
6, 14811400
6, 14812200
7, 14789500
7, 14792400
7, 14781000
7, 14828300
7, 14792300
7, 14756000
7, 15406500
7, 15610700
7, 14813500
7, 14819900
8, 17580600
8, 14842300
8, 14846300
8, 14809600
8, 15677500
8, 14959100
8, 15006800
8, 14811600
8, 14862700
8, 14796200
9, 14772000
9, 14777300
9, 15211700
9, 15305600
9, 14900800
9, 14855400
9, 15027800
9, 15221800
9, 15313300
9, 15002100
10, 14969300
10, 14992100
10, 14818600
10, 14790900
10, 14779400
10, 14913700
10, 15810400
10, 14772100
10, 18200300
10, 14734100
11, 14866200
11, 14833200
11, 14809600
11, 14807000
11, 14834300
11, 14792400
11, 14876200
11, 14807100
11, 14753200
11, 19817700
12, 14919800
12, 14860500
12, 14791900
12, 14965100
12, 14805200
12, 14801700
12, 14814100
12, 14775200
12, 14800100
12, 14843300
13, 14782200
13, 14807400
13, 14789800
13, 14813500
13, 14826000
13, 14789400
13, 14780500
13, 14848400
13, 14844100
13, 14795000
14, 14880800
14, 14811800
14, 14784900
14, 14786200
14, 14912100
14, 15017300
14, 14821100
14, 14795100
14, 14778600
14, 14827200
15, 14887400
15, 14795600
15, 14792400
15, 14815800
15, 14852200
15, 14832400
15, 14789200
15, 14778000
15, 14936000
15, 14803900
16, 15006200
16, 14829400
16, 14777500
16, 14779300
16, 14839900
16, 14811000
16, 14762900
16, 14836700
16, 14778700
16, 14795000
17, 14829500
17, 17052900
17, 14918800
17, 14830600
17, 14876600
17, 14808500
17, 14762200
17, 14785300
17, 14790700
17, 14790500
18, 14765200
18, 14800000
18, 14756700
18, 14781200
18, 14892000
18, 14761200
18, 14854500
18, 14800700
18, 14885300
18, 14794700
19, 14794500
19, 14800800
19, 14783200
19, 15017800
19, 14791400
19, 15108200
19, 14798200
19, 14776400
19, 14765600
19, 14802700
20, 14771300
20, 14792600
20, 14799800
20, 14801500
20, 15023800
20, 14975900
20, 14797700
20, 14785100
20, 15759800
20, 15012400
21, 14915300
21, 14765900
21, 14800100
21, 14789700
21, 15854500
21, 15040800
21, 14976400
21, 15877000
21, 14770600
21, 14870900
22, 14817600
22, 14791500
22, 14889000
22, 15065500
22, 14786000
22, 14926500
22, 15526900
22, 14859900
22, 15113200
22, 15256700
23, 14791200
23, 14865000
23, 14823000
23, 14860400
23, 14833600
23, 14806000
23, 14785800
23, 14776900
23, 15362300
23, 15211800
24, 14855300
24, 15458900
24, 14802900
24, 14802600
24, 14833400
24, 14821200
24, 14811100
24, 14819100
24, 14805300
24, 15258900
25, 15330500
25, 14797200
25, 14836800
25, 19663200
25, 14977200
25, 14887800
25, 15005500
25, 15031200
25, 14936100
25, 14963500
26, 14987900
26, 14969800
26, 14798800
26, 14785200
26, 14802100
26, 14819900
26, 15104600
26, 15176500
26, 15078200
26, 15016900
27, 14947500
27, 14955600
27, 14958700
27, 14957700
27, 15004900
27, 14926100
27, 15061400
27, 14848100
27, 14822800
27, 14825900
28, 14844800
28, 14832100
28, 14855100
28, 14867300
28, 14935300
28, 15229000
28, 14835800
28, 14781800
28, 14791100
28, 14800200
29, 14834200
29, 14811900
29, 14957900
29, 14822000
29, 14772700
29, 15329900
29, 14942300
29, 14878600
29, 14802100
29, 14795300
30, 14819700
30, 14821500
30, 14825200
30, 14767700
30, 14804200
30, 14909100
