0, 14434000
0, 14638000
0, 14422000
0, 14432000
0, 14443000
0, 14393000
0, 14398000
0, 14382000
0, 14404000
0, 14404000
1, 14433000
1, 14823000
1, 14407000
1, 14427000
1, 14399000
1, 14408000
1, 14390000
1, 14423000
1, 14580000
1, 14403000
2, 14395000
2, 14400000
2, 14409000
2, 14397000
2, 14403000
2, 15586000
2, 14555000
2, 14583000
2, 14402000
2, 14422000
3, 14436000
3, 18531000
3, 14388000
3, 14387000
3, 16301000
3, 14653000
3, 14472000
3, 14390000
3, 14414000
3, 14568000
4, 14442000
4, 14394000
4, 14395000
4, 14414000
4, 14397000
4, 14390000
4, 14394000
4, 14421000
4, 14429000
4, 14382000
5, 14492000
5, 14447000
5, 14397000
5, 14465000
5, 14414000
5, 14487000
5, 14426000
5, 14445000
5, 14452000
5, 14432000
6, 14460000
6, 14531000
6, 18933000
6, 14454000
6, 14438000
6, 14429000
6, 14453000
6, 14473000
6, 17949000
6, 14443000
7, 14438000
7, 14485000
7, 14434000
7, 14431000
7, 14430000
7, 14428000
7, 14436000
7, 14422000
7, 14449000
7, 16158000
8, 14610000
8, 15644000
8, 14402000
8, 14398000
8, 14439000
8, 14589000
8, 14433000
8, 14564000
8, 14409000
8, 14527000
9, 14384000
9, 14419000
9, 14485000
9, 15501000
9, 14537000
9, 14488000
9, 16420000
9, 14756000
9, 14417000
9, 14521000
10, 14433000
10, 14428000
10, 15293000
10, 14413000
10, 14591000
10, 14835000
10, 14598000
10, 14397000
10, 14412000
10, 14388000
11, 14391000
11, 14393000
11, 14434000
11, 14451000
11, 14398000
11, 14391000
11, 17639000
11, 14393000
11, 14424000
11, 14417000
12, 14420000
12, 14397000
12, 14431000
12, 14497000
12, 14392000
12, 14383000
12, 14398000
12, 14481000
12, 14402000
12, 14573000
13, 18222000
13, 14464000
13, 14405000
13, 14393000
13, 14442000
13, 14409000
13, 14453000
13, 14449000
13, 14432000
13, 14425000
14, 14427000
14, 14483000
14, 14434000
14, 14433000
14, 14602000
14, 14397000
14, 14382000
14, 15166000
14, 20083000
14, 16294000
15, 15928000
15, 14979000
15, 14703000
15, 14606000
15, 14692000
15, 14449000
15, 14421000
15, 14861000
15, 14722000
15, 14457000
16, 14632000
16, 15738000
16, 14501000
16, 14378000
16, 14411000
16, 14393000
16, 14388000
16, 14388000
16, 14401000
16, 14390000
17, 14386000
17, 14400000
17, 14384000
17, 14394000
17, 14401000
17, 14392000
17, 14418000
17, 15239000
17, 14345000
17, 14345000
18, 14341000
18, 14349000
18, 14380000
18, 14662000
18, 14355000
